Date,DXY,METALS,OIL,US_STK,INTL_STK,13W_TB,10Y_TBY,EURUSD
5/19/2015,0.011466132,-0.038600239,0.030038421,-0.000328301,-0.002779596,0.25,0.015260323,-0.010386149
5/20/2015,0.001889367,0.001250306,0.029501526,-0.00070418,0.000696972,0.3,-0.004862953,-0.015850004
5/21/2015,-0.001990519,-0.003052616,-0.016469038,0.002912258,0.002785528,0,-0.029320302,-0.004118723
5/22/2015,0.007873189,-0.008350703,0,-0.002388478,-0.004514169,-0.230769231,0.013729977,0.000999932
5/26/2015,0.013436111,-0.035929796,-0.037006028,-0.010751999,-0.015695724,0,-0.035214447,-0.012660358
5/27/2015,0.000719424,0.001019071,0.002956008,0.009492236,0.00708729,0.3,-0.000935891,-0.00750239
5/28/2015,-0.004108062,0.015561372,0.045423024,-0.001128158,-0.003518854,-0.769230769,-0.00234192,0.001023982
5/29/2015,-0.000618717,-0.001861736,0,-0.006213204,-0.008474658,0,-0.016431925,0.005535775
6/1/2015,0.004952997,-0.005882296,0.015920398,0.002036862,-0.002136698,1.666666667,0.046300716,-0.000219883
6/2/2015,-0.015915423,0.017895771,-0.026444662,-0.000992846,0.003925689,0.25,0.033759124,-0.003189468
6/3/2015,-0.003860549,-0.018148292,-0.027498323,0.002649597,0.003910594,0,0.044130627,0.020783687
6/4/2015,-0.000104766,-0.008953112,0.019482759,-0.008446543,-0.010977292,-0.5,-0.024936602,0.009670843
6/5/2015,0.008904243,-0.01325945,0,-0.001713133,-0.009666886,1,0.04117902,-0.004438685
6/8/2015,-0.010486917,0.006054282,0.017081008,-0.006149681,-0.00180751,0,-0.008742714,-0.008897319
6/9/2015,-0.001364166,-0.008366344,0.02144995,-0.000144009,-0.005070887,0.3,0.015119698,0.015556146
6/10/2015,-0.005463865,0.013469553,-0.010743936,0.011993389,0.017109466,0,0.025237898,0.001604475
6/11/2015,0.00348654,-0.019570673,-0.013328945,0.003223295,0.001073638,-0.384615385,-0.038337369,0.001142574
6/12/2015,-0.000105306,-0.008639863,0,-0.007654673,-0.006078023,-0.375,0.000839278,-0.006305715
6/15/2015,-0.001684774,0.006010428,0.000166778,-0.004285247,-0.007193934,-0.4,-0.011320755,-0.001840644
6/16/2015,0.002004029,-0.014339045,-0.00083375,0.005451459,0.000724706,1.666666667,-0.016963528,0.00508648
6/17/2015,-0.007368389,0.02212455,0.008845127,0.00161677,0.000723877,-0.625,-0.005176877,-0.003102773
6/18/2015,-0.002757179,0.013639823,-0.013895782,0.010399673,0.00651231,0,0.01951431,0.011381407
6/19/2015,0.000531635,-0.025157246,0,-0.004439281,-0.003594618,0,-0.035729477,6.77223E-05
6/22/2015,0.002550813,-0.015753998,0.023485992,0.005123195,0.01659466,0,0.041023379,0.000193479
6/23/2015,0.011661168,0.002134146,-0.012129159,0.000707626,0.003193822,1.666666667,0.020762712,-0.002099721
6/24/2015,-0.00178139,0.001673258,-0.009457442,-0.007262527,-0.005306161,-0.375,-0.01577418,-0.015584551
6/25/2015,-0.000734831,-0.011389522,-0.001172529,-0.003040386,-0.000934326,0,0.009278785,0.003114877
6/26/2015,0.002941475,-0.006451582,0,-0.000190704,-0.002517601,0,0.034684496,-0.000357812
6/29/2015,-0.007122656,-0.011904762,-0.002683213,-0.020970116,-0.026686169,0,-0.058562197,-0.020348157
6/30/2015,0.007384713,-0.012048208,-0.042206154,0.002093003,0.001852437,1,0.001716002,0.022592214
7/1/2015,0.008587287,-0.028032943,-0.000526685,0.008015646,0.004437769,-0.7,0.035546039,-0.00783928
7/2/2015,-0.002076596,0.020857146,0,-0.00091547,0.000736477,0,-0.010339123,-0.009102837
7/6/2015,0.001976922,0.013567406,-0.080800984,-0.002846192,-0.020235285,0.666666667,-0.048056832,-0.003496583
7/7/2015,0.005919003,-0.048661417,-0.012994458,0.006288676,-0.006759585,1,-0.020632133,0.004905844
7/8/2015,-0.005987426,-0.007614617,0.021878025,-0.016777146,-0.021171934,0,-0.011205737,-0.00353426
7/9/2015,0.003323294,-0.004336981,-0.000757863,0.001808943,0.013518824,-0.2,0.04306437,0.005546806
7/10/2015,-0.00600354,-0.01139221,0,0.012591496,0.024390202,0,0.050412864,-0.000718995
7/13/2015,0.008643153,0.007964786,0.005688282,0.01103739,0.007812367,0,0.005378568,0.005964901
7/14/2015,-0.00227134,-0.008069939,-0.030731523,0.004337929,0.004799119,0.25,-0.012757202,-0.012452107
7/15/2015,0.005070344,-0.027966136,-0.009725734,-0.000332179,-0.003673743,0.3,-0.020425177,0.00159593
7/16/2015,0.005456677,-0.007846487,-0.00039285,0.008024502,0.007374535,-0.230769231,0.000851064,-0.005854833
7/17/2015,0.002047891,-0.047451686,0,0.0008478,-0.001830148,0.3,-0.00127551,-0.005257892
7/20/2015,0.001737155,-0.102767526,-0.01041462,0.000517234,-0.001467012,0.769230769,0.009791401,-0.005122171
7/21/2015,-0.007140641,0.028377482,-0.023232724,-0.003951029,-0.000734453,0.304347826,-0.013490725,0.000476443
7/22/2015,0.002774026,-0.007198481,-0.015043708,-0.001794757,-0.007717663,0,-0.007692308,0.00964892
7/23/2015,-0.004917982,-0.047532747,-0.006398349,-0.005629734,-0.002962925,0,-0.019379845,-0.001180077
7/24/2015,0.001235533,0.026009706,0,-0.010372052,-0.011144053,0,-0.002635046,0.005670332
7/27/2015,-0.007610017,-0.038334707,-0.003323639,-0.005817394,-0.010518672,-0.066666667,-0.01893439,-0.00151424
7/28/2015,0.002797896,0.017359644,0.016882034,0.012283212,0.00873225,0.535714286,0.009874327,0.01072421
7/29/2015,0.002170156,0.0189593,-0.005533921,0.006878918,0.005645113,0.046511628,0.012888889,-0.002168613
7/30/2015,0.005980563,-0.035765971,-0.028854081,0.000237263,-0.001871067,0.333333333,-0.004826678,-0.007403766
7/31/2015,-0.001947468,0.019939988,0,-0.00151784,0.005624214,-0.033333333,-0.027777778,-0.004080458
8/3/2015,0.001232361,-0.042673933,-0.029286927,-0.003372774,-0.00335554,0.086206897,-0.024943311,0.002720481
8/4/2015,0.004513304,0.002854567,-0.012898994,-0.001954597,0.000374073,0.19047619,0.028372093,-0.001183335
8/5/2015,0.000306331,-0.025399607,-0.010852713,0.003295735,0.004113668,0,0.02578019,-0.00611901
8/6/2015,-0.001327042,0.030330332,-0.017689207,-0.008187845,-0.004096815,-0.626666667,-0.014991182,0.001296724
8/7/2015,-0.00275993,-0.003488879,0,-0.001920088,-0.002243912,0.964285714,-0.026410027,0.002196623
8/10/2015,-0.00409998,0.077461727,-0.01800775,0.012599355,0.012743666,0.181818182,0.028965517,0.003475778
8/11/2015,0.001337968,0.004670979,0.005106778,-0.00902318,-0.015543908,0.507692308,-0.04512958,0.004737789
8/12/2015,-0.010586895,0.068526378,-0.024711316,0.0011981,-0.00827077,-0.081632653,-0.00327562,0.002274671
8/13/2015,0.001973769,-0.052402591,0.006393559,-0.001244635,0.000378812,-0.077777778,0.027699531,0.010769749
8/14/2015,0.001244199,-0.007586365,0,0.003642589,-0.000378668,-0.036144578,0.003197807,0
8/17/2015,0.002588796,0.037215893,0.002823529,0.005586681,-0.002274489,-0.25,-0.020947177,-0.006089978
